nr;nume;prenume;sex;localitate;;
229;Cerbulescu;Constantin;m;Dr. Tr. Severin;;
230;Popescu;Grigore Alin;m;Dr. Tr. Severin;;
231;Purcaru;Marcel;m;Dr. Tr. Severin;;
232;Raicu;Ion;m;Vânju Mare;;
233;Mărăscu;Ion;m;Vânju Mare;;
234;Pătrăşanu;Constantin;m;Orşova;;
235;Stan;Monica;f;Balş;;
236;Diaconiţa;Constantin;m;Motru;;
237;Iovan;Cornel;m;Segarcea;;
238;Martinescu;Iacob;m;Baia de Aramă;;
239;Mădescu;Lionela;f;Băileşti;;
240;Răduleţu;Valeriu;m;Tg. Cărbuneşti;;
241;Colţ;Victor;m;Galaţi;;
242;Viţelaru;Dumitru;m;Galaţi;;
243;Micu;Constantin;m;Galaţi;;
244;Munteanu;Laura;f;Galaţi;;
245;Coţac;Dănuţ-Carmen;dk;Galaţi;;
246;Căpraru;Apostu;dk;Tecuci;;
247;Ţigănuş;Viorel-Mirel;m;Tecuci;;
248;Postelnicu;Ştefan;m;Târgu Bujor;;
249;Ionescu;Claudia Cristina;f;Panciu;;
250;Pintilie;Lucian Gabrie;m;Brăila;;
251;Drăgulin;Eugen;m;Brăila;;
252;Postelnicu;Gabriela;f;Brăila;;
253;Turcu;George;m;Brăila;;
254;Motoc;Petrică;m;Însurăţei;;
255;Coman;Gelu;m;Focşani;;
256;Bârsan;Mititelu Firel;m;Focşani;;
257;Teodorescu;Ioan;m;Focşani;;
258;Bercariu;CorneNu;dk;Focşani;;
259;Zacornea;Constantin;m;Iaşi;;
260;Airinei;Constantin;m;Iaşi;;
261;Mihăilă;Radu;m;Iaşi;;
262;Andrei;Cezar;m;Iaşi;;
263;Bîrcă;Gabriel;m;Iaşi;;
264;Stan;Iulian Marius;m;Bârlad;;
265;Boboc;Mihai;m;Vaslui;;
266;Angheluţa;Lucian;m;Raducaneni;;
267;Corbu;Vasile;m;Paşcani;;
268;Popovici;Florin;m;Paşcani;;
269;Guţu;Adrian;m;Huşi;;
270;Soos;Ştefan;m;Tg. Mureş;;
271;Pop;Ioan;m;Tg. Mureş;;
272;Olariu;Titu-Traian;m;Tg. Mureş;;
273;Giunca;Măria Cristina;f;Tg. Mureş;;
274;Puia;Romulus;m;Tg. Mureş;;
275;Kenosy;Adrian Zoltan;m;Sighişoara;;
276;Corcescu;Horaţiu;m;Târnăveni;;
277;Roga;Sorin;m;Reghin;;
278;Sarig;Attila;m;Miercurea Ciuc;;
279;Szilagyi;Erzsebet;f;Miercurea Ciuc;;
280;Cotfas;Marin Cornel;m;Topliţa;;
281;Baroti;Pal;m;Gheorgheni;;
282;Biro;Mihaiu;m;Odorh. Secuiesc;;
283;Szekely;Szabolcs;m;Tg. Mureş;;
284;Olteanu;Radu;m;Reghin;;
285;Hurubă;Eugen;m;Luduş;;
286;Rădulescu;Remus;m;Ploieşti;;
287;Matei;Sebastian;m;Ploieşti;;
288;Trifina;Elena;f;Ploieşti;;
289;Tănase;Laura;f;Ploieşti;;
290;Petre;Cristian;m;Ploieşti;;
291;Divoiu;Măria;dk;Ploieşti;;
292;Roşu;Ortansa Adriana;f;Moreni;;
293;Huiduş;Elena;f;Câmpina;;
294;Frîncu;Mihai;m;Câmpina;;
295;Negulescu;Emilian;m;Vălenii de Munte;;
296;Mihai;Ducu;m;Târgovişte;;
297;Georgescu;Gheorghe;m;Târgovişte;;
298;Deaconescu;Adrian;m;Târgovişte;;
299;Ştefan;Viorel Dinu;m;Târgovişte;;
300;Stănescu;Mihai;m;Târgovişte;;
301;Puică;Claudiu;m;Găeşti;;
302;Gruianu;Viorel;m;Pucioasa;;
303;Pavel;Bebi;m;Sinaia;;
304;Marin;Florea;dk;Răcari;;
305;Porojnicu;Adrian;m;Buzău;;
306;Popescu;Adrian;m;Buzău;;
307;Rusen;Valeriu;m;Buzău;;
308;Ailincăi;Alexandru;m;Rm. Sărat;;
309;Clinciu;Gheorghe;m;Rm. Sărat;;
310;Nicolau;Iulian Nicolae;m;Pogoanele;;
311;Manole;Victor;m;Pătârlagele;;
312;Galea;Cristian Viorel;m;Mizil;;
313;Popescu;Virgil Paul;m;Arad;;
314;Păsculescu;Horia;m;Arad;;
315;Cârciumaru;Gheorghe;m;Arad;;
316;Viţan;Ştefan;m;Arad;;
317;Găluţi;Alexandru;m;Ineu;;
318;Oprea;Dan;m;Lipova;;
319;Nebunu;Nicolae;m;Reşiţa;;
320;Modâlcă;Gheorghe;m;Reşiţa;;
321;Ciobanu;Gheorghe;m;Reşiţa;;
322;Tăbuşcă;Vasile;m;Caransebeş;;
323;Timonea;Mihai;m;Caransebeş;;
324;Ghiduţ;Lucian-Corneliu;m;Oraviţa;;
325;Dragomir;Daniel;m;Timişoara;;
326;Jurchescu;Cristian;m;Timişoara;;
327;Tetei;Simona;f;Timişoara;;
328;Munteanu;Doru;m;Timişoara;;
329;Opriţescu;Bujor;m;Timişoara;;
330;Todoran;Sorin;m;Timişoara;;
331;Milici;Gheorghe;m;Timişoara;;
332;Marghecu;Anca Lucia;f;Timişoara;;
333;Matei;Sorin Romeo;m;Timişoara;;
334;Şoimoşan;Alina;f;Timişoara;;
335;Huţiu;Vasile Constanti;m;Făget;;
336;Blajovan;Nucu Tiberius;m;Lugoj;;
337;Furdean;Mugurel;m;Lugoj;;
338;Sima-Pinteală;Ion;m;Caransebeş;;
339;Capotescu;Ioan;m;Sânicolau Mare;;
340;Crăciun;Cristian;m;Deva;;
